"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"northington-white-carven","North- White Carven","F/W 17 Agate polished beads with fabric tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",59.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0067_copy.jpg?v=1495418299",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"northington-tiger-eye","North- Tiger's Eye","F/W 17 Tiger's eye polished beads with fabric tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",59.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0082_copy.jpg?v=1495418809",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"caterina-snowstorm","Caterina- Storm","F/W 17 Agate polished beads with metal tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, metal, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",79.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0070_copy.jpg?v=1495418399",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"caterina-crackled","Caterina- Crackled","F/W 17 Agate polished beads with metal tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, metal, tassel","TRUE","Title","Default Title",,,,,,170,,0,"deny","manual",79.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170510_GROWNEY_0056_copy.jpg?v=1495417347",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"caterina-white-carven","Caterina- White Carven","F/W 17 Agate polished beads with metal tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, metal, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",79.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0066_copy.jpg?v=1495418257",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"caterina-noir","Caterina- Noir","F/W 17 Onyx polished beads with metal tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, metal, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",79.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0077_copy.jpg?v=1495418545",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"caterina-tiger-eye","Caterina- Tiger's Eye","F/W 17 Tiger's eye polished beads with metal tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, metal, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",79.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0081_copy.jpg?v=1495418715",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"caterina-red","Caterina- Red","F/W 17 Agate polished beads with metal tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, metal, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",79.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0084_copy.jpg?v=1495418893",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"caterina-wooed","Caterina- Wood Carven","F/W 17 Wood carved beads with metal tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, metal, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",79.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170510_GROWNEY_0060_copy.jpg?v=1495417457",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"field-wood-carven","Field- Wood Carven","F/W 17 Wood carved beads. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",49.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170510_GROWNEY_0058_copy.jpg?v=1495417412",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
"the-north-wood-carven","North- Wood Carven","F/W 17 Wood carved beads with fabric tassel. PRNL signature bead. <em>One Size- typically fits wrists 6-8"".</em>","Perennial Collections","Jewelry","bead, bracelet, jewelry, tassel","TRUE","Title","Default Title",,,,,,170,,100,"deny","manual",59.99,,"TRUE","TRUE",,"https://cdn.shopify.com/s/files/1/1826/4035/products/20170514_GROWNEY_0064_copy.jpg?v=1495417526",1,,"FALSE",,,,,,,,,,,,,,,,,"oz",
